t,nu_0p05,nu_0p10,nu_0p15,nu_0p20,nu_0p25,nu_0p30,nu_0p40,nu_0p55,nu_0p70,nu_0p85,nu_1p00,nu_1p30,nu_1p70,nu_2p20,nu_3p00
5.000000000000000000e+00,2.221160605631359308e-01,2.220498536759056563e-01,2.219402479933216821e-01,2.218176062486862943e-01,2.217018251593784739e-01,2.216012033689913063e-01,2.214487875573923625e-01,2.213128245655018034e-01,2.212417065800967308e-01,2.212034956291836774e-01,2.211803534264694115e-01,2.211325420804333142e-01,2.209386811269480611e-01,2.202973095702858153e-01,2.189984333024433405e-01
5.250000000000000000e+00,2.244971505668775513e-01,2.244355749273496126e-01,2.243262210375368548e-01,2.242039116375288132e-01,2.240902738894212931e-01,2.239935130373114924e-01,2.238515744614580916e-01,2.237314820798472215e-01,2.236704298939650726e-01,2.236307000355451935e-01,2.235856136378389092e-01,2.233770656971139634e-01,2.226212368438601485e-01,2.212244427471579677e-01,2.196807871818725333e-01
5.500000000000000000e+00,2.269949407673494124e-01,2.269384259960721961e-01,2.268297868070960621e-01,2.267085547596151551e-01,2.265979216452518596e-01,2.265057899458265966e-01,2.263750258807766813e-01,2.262676790009594818e-01,2.262027565331982959e-01,2.261246678866439264e-01,2.259801114426693014e-01,2.252985848596439356e-01,2.236668234299180047e-01,2.218638908880324612e-01,2.204078424036378103e-01
5.750000000000000000e+00,2.295591000673623538e-01,2.295081341965911070e-01,2.294007532385430037e-01,2.292813821390478346e-01,2.291745427472575147e-01,2.290875638389429647e-01,2.289672441444963735e-01,2.288618833405149100e-01,2.287555983518054781e-01,2.285481990764199334e-01,2.281399890579676182e-01,2.266229440004680351e-01,2.243006173844146189e-01,2.224913528175650745e-01,2.211890252167651727e-01
6.000000000000000000e+00,2.321511941314770566e-01,2.321063317577741203e-01,2.320008272454820719e-01,2.318840948064529173e-01,2.317816496463083464e-01,2.316998479526932719e-01,2.315863972239757540e-01,2.314568043995853253e-01,2.312262158320580185e-01,2.307162755572251256e-01,2.298226006865106974e-01,2.273943480575823517e-01,2.248281931593214822e-01,2.231844696393362193e-01,2.220008439860592653e-01
6.250000000000000000e+00,2.347419345712681293e-01,2.347038043859105694e-01,2.346008569471219884e-01,2.344874675722947721e-01,2.343896446264081002e-01,2.343121259583131888e-01,2.341967104596096305e-01,2.339883829450538077e-01,2.334805674966007050e-01,2.324342459404358796e-01,2.309218680369531096e-01,2.278761863675630439e-01,2.253988687356742182e-01,2.239401180904330990e-01,2.228190816975722521e-01
6.500000000000000000e+00,2.373091037852827212e-01,2.372784153879479996e-01,2.371787477523478738e-01,2.370692326011263895e-01,2.369756032030424509e-01,2.368998872852705884e-01,2.367645401107841274e-01,2.363772648440216062e-01,2.353672859962173125e-01,2.336031056238437320e-01,2.315493596113005204e-01,2.282968390940021131e-01,2.260499633435059108e-01,2.247349321806758615e-01,2.236241176368098105e-01
6.750000000000000000e+00,2.398359771014524355e-01,2.398135269422077831e-01,2.397178732452856786e-01,2.396124446372187577e-01,2.395214947318920484e-01,2.394424902213804773e-01,2.392543465394348645e-01,2.385262716565365038e-01,2.367727237681553076e-01,2.342887586339478245e-01,2.319236552608472945e-01,2.287727332686574355e-01,2.267720687103592370e-01,2.255442501630408603e-01,2.244011170244371578e-01
7.000000000000000000e+00,2.423101142735470948e-01,2.422967905106800657e-01,2.422058520670188619e-01,2.421041946795015054e-01,2.420126939187743909e-01,2.419211890148074140e-01,2.416248400488291426e-01,2.403329699360483573e-01,2.376846827491908287e-01,2.346673524118875476e-01,2.322334610957975387e-01,2.293399708446554885e-01,2.275415708961227301e-01,2.263471832784745286e-01,2.251393619175188765e-01
7.250000000000000000e+00,2.447224276538053911e-01,2.447192136513128835e-01,2.446335970570943097e-01,2.445345732422894436e-01,2.444366730142071842e-01,2.443172303176250060e-01,2.438264195147285540e-01,2.417208440828342852e-01,2.382008728679554377e-01,2.349216611569698021e-01,2.325908223296460076e-01,2.299939360440113045e-01,2.283334595129842548e-01,2.271273668180360250e-01,2.258318999210774114e-01
7.500000000000000000e+00,2.470664592886161470e-01,2.470744354017782307e-01,2.469945676323446193e-01,2.468958088046101784e-01,2.467817977542853536e-01,2.466100361623259907e-01,2.458020768588974336e-01,2.426738795262799175e-01,2.384751510421607712e-01,2.351826498395119536e-01,2.330429404066674537e-01,2.307135365693219198e-01,2.291257647629973970e-01,2.278727127470075164e-01,2.264745675671543390e-01
7.750000000000000000e+00,2.493378169671306710e-01,2.493581601715864626e-01,2.492841739392955835e-01,2.491815254011992553e-01,2.490361903724140069e-01,2.487756745593777685e-01,2.474941998009252409e-01,2.432478842539269603e-01,2.386553709560340075e-01,2.355219044943165363e-01,2.335965001911683714e-01,2.314734176089358331e-01,2.299008088113432269e-01,2.285749424434889987e-01,2.270654638406358339e-01
8.000000000000000000e+00,2.515337320586317205e-01,2.515677128661737427e-01,2.514992939703930563e-01,2.513860789821580344e-01,2.511866817176239275e-01,2.507860754291365568e-01,2.488575738221085187e-01,2.435494972440784833e-01,2.388501356115764751e-01,2.359658178170488951e-01,2.342370631897217059e-01,2.322495118146955806e-01,2.306452061724817704e-01,2.292288544194920064e-01,2.276045531002078848e-01
8.250000000000000000e+00,2.536527112789216387e-01,2.537016872443937365e-01,2.536378740667202814e-01,2.535039480331910400e-01,2.532179592686013558e-01,2.526096885304318640e-01,2.498743001196272462e-01,2.437003421242915358e-01,2.391232694008538773e-01,2.365124398870510347e-01,2.349413413321863320e-01,2.330212662661618750e-01,2.313494486418199436e-01,2.298317348821627137e-01,2.280930580934434904e-01
8.500000000000000000e+00,2.556942613438581979e-01,2.557596663022204675e-01,2.556985902455413684e-01,2.555291733878480853e-01,2.551121249122563217e-01,2.542142761667191553e-01,2.505629851462719548e-01,2.438077971651406162e-01,2.395018608048888331e-01,2.371446236146283471e-01,2.356841591250115886e-01,2.337723188122704798e-01,2.320073287970831066e-01,2.303828850422510455e-01,2.285331321043829467e-01
8.750000000000000000e+00,2.576586705049531134e-01,2.577419984809511400e-01,2.576805533879968357e-01,2.574548674065895160e-01,2.568489711109482321e-01,2.555719993479370067e-01,2.509768107436372575e-01,2.439506080422131906e-01,2.399875998752764028e-01,2.378387709589870891e-01,2.364420984876486886e-01,2.344903885471975591e-01,2.326153328701200673e-01,2.308830636361782207e-01,2.289275758427206930e-01
9.000000000000000000e+00,2.595468347115653662e-01,2.596496172241782863e-01,2.595830463536548116e-01,2.592728449439067329e-01,2.584072943079537277e-01,2.566658617224347183e-01,2.511916967946834500e-01,2.441766606357679836e-01,2.405668617821190014e-01,2.385701524682601604e-01,2.371951575847794924e-01,2.351668658282725644e-01,2.331721134832670794e-01,2.313340937250376872e-01,2.292795504206943391e-01
9.250000000000000000e+00,2.613601189560619265e-01,2.614838941918887216e-01,2.614052860542421808e-01,2.609734633338939291e-01,2.597673944949589475e-01,2.574954593762344701e-01,2.512906255686121471e-01,2.445073682416221139e-01,2.412182751383227519e-01,2.393158755002360860e-01,2.379273206495030879e-01,2.357962763399683581e-01,2.336779657267998300e-01,2.317385779473394858e-01,2.295924223846552703e-01
