t,nu_0p05,nu_0p10,nu_0p15,nu_0p20,nu_0p25,nu_0p30,nu_0p40,nu_0p55,nu_0p70,nu_0p85,nu_1p00,nu_1p30,nu_1p70,nu_2p20,nu_3p00
6.250000000000000000e+01,7.416415098633575287e-01,7.768191646492139668e-01,7.952338833244608773e-01,8.078033493121525854e-01,8.173668589334359691e-01,8.250585188411709847e-01,8.368999879678690190e-01,8.494032202139358834e-01,8.582932081820383585e-01,8.650077286431284707e-01,8.702899948209218417e-01,8.781225728971686628e-01,8.852195950932872925e-01,8.911895961766556074e-01,8.973481663202222958e-01
6.275000000000000000e+01,7.416181792382189331e-01,7.768202816371058139e-01,7.952338078938968602e-01,8.078033654324052737e-01,8.173668573282453220e-01,8.250585186341602428e-01,8.368999875641501829e-01,8.494032192805938131e-01,8.582932066030976026e-01,8.650077264243892783e-01,8.702899921085622825e-01,8.781225691323466531e-01,8.852195905629893780e-01,8.911895910950117239e-01,8.973481604464379480e-01
6.300000000000000000e+01,7.415951313608702966e-01,7.768212343178421131e-01,7.952337509065811050e-01,8.078033795940271489e-01,8.173668557675064505e-01,8.250585184453184118e-01,8.368999871675422142e-01,8.494032183375516132e-01,8.582932050386046230e-01,8.650077242604546912e-01,8.702899893548831090e-01,8.781225655390703100e-01,8.852195859026287250e-01,8.911895859016460975e-01,8.973481545808099646e-01
6.325000000000000000e+01,7.415724104613555800e-01,7.768220315411072940e-01,7.952337109389735481e-01,8.078033918815230585e-01,8.173668542686027827e-01,8.250585182708142229e-01,8.368999867691377936e-01,8.494032174090111464e-01,8.582932034771916241e-01,8.650077220865535210e-01,8.702899866256653683e-01,8.781225619021924000e-01,8.852195815381066479e-01,8.911895804208368466e-01,8.973481488530646866e-01
6.350000000000000000e+01,7.415500568100981127e-01,7.768226822249980623e-01,7.952336865791036491e-01,8.078034023893662097e-01,8.173668528381040632e-01,8.250585181090283049e-01,8.368999863740531620e-01,8.494032164687690400e-01,8.582932019411290137e-01,8.650077199460075583e-01,8.702899839163896756e-01,8.781225582340874691e-01,8.852195770951439835e-01,8.911895755739729363e-01,8.973481429021623601e-01
6.375000000000000000e+01,7.415281068784692620e-01,7.768231953036752735e-01,7.952336764352385678e-01,8.078034112191823102e-01,8.173668514869039115e-01,8.250585179589471352e-01,8.368999859753586401e-01,8.494032155560201636e-01,8.582932004044898644e-01,8.650077177728258127e-01,8.702899812464643947e-01,8.781225547098748807e-01,8.852195724836261492e-01,8.911895705108525689e-01,8.973481375044084496e-01
6.400000000000000000e+01,7.415065934984631513e-01,7.768235796793127035e-01,7.952336791459896359e-01,8.078034184776474724e-01,8.173668502183449869e-01,8.250585178191599534e-01,8.368999855848811009e-01,8.494032146324267396e-01,8.582931988690635228e-01,8.650077156858095861e-01,8.702899785886212269e-01,8.781225511296916197e-01,8.852195682970950275e-01,8.911895650906218602e-01,8.973481319349180252e-01
6.425000000000000000e+01,7.414855460221133621e-01,7.768238441782847614e-01,7.952336933861299251e-01,8.078034242756492178e-01,8.173668490405346931e-01,8.250585176865666837e-01,8.368999851914594723e-01,8.494032137205930200e-01,8.582931973555074645e-01,8.650077135683791330e-01,8.702899759016961001e-01,8.781225476446520295e-01,8.852195639398383609e-01,8.911895604671881133e-01,8.973481258021152041e-01
6.450000000000000000e+01,7.414649904793725321e-01,7.768239975109538786e-01,7.952337178752826308e-01,8.078034287263562430e-01,8.173668479520156405e-01,8.250585175598289522e-01,8.368999848021718702e-01,8.494032128027668715e-01,8.582931958477648671e-01,8.650077114769463282e-01,8.702899733148161676e-01,8.781225440987110442e-01,8.852195595762631930e-01,8.911895555297287830e-01,8.973481208656119978e-01
6.475000000000000000e+01,7.414449497344463014e-01,7.768240482365079691e-01,7.952337513818393822e-01,8.078034319435634103e-01,8.173668469562049843e-01,8.250585174386632081e-01,8.368999844085855955e-01,8.494032119052763452e-01,8.582931943519065410e-01,8.650077093844591447e-01,8.702899706901591204e-01,8.781225406961874480e-01,8.852195553612417500e-01,8.911895502522474422e-01,8.973481154482106925e-01
